SZ,sz_income
ADMIRALTY,18900.0
AIRPORT ROAD,0.0
ALEXANDRA HILL,15330.0
ALEXANDRA NORTH,13090.0
ALJUNIED,116930.0
ANAK BUKIT,51890.0
ANCHORVALE,73650.0
ANG MO KIO TOWN CENTRE,11740.0
ANSON,1670.0
BAHAR,0.0
BALESTIER,82160.0
BANGKIT,31370.0
BAYFRONT SUBZONE,0.0
BAYSHORE,29100.0
BEDOK NORTH,127120.0
BEDOK RESERVOIR,50020.0
BEDOK SOUTH,96780.0
BENCOOLEN,4350.0
BENDEMEER,67330.0
BENOI SECTOR,0.0
BIDADARI,1210.0
BISHAN EAST,46690.0
BOAT QUAY,930.0
BOON KENG,15470.0
BOON LAY PLACE,32560.0
BOON TECK,18280.0
BOULEVARD,4970.0
BRADDELL,14380.0
BRAS BASAH,0.0
BRICKLAND,0.0
BRICKWORKS,30830.0
BUGIS,7120.0
BUKIT BATOK CENTRAL,38050.0
BUKIT BATOK EAST,16910.0
BUKIT BATOK SOUTH,22460.0
BUKIT BATOK WEST,19620.0
BUKIT HO SWEE,17940.0
BUKIT MERAH,1990.0
CAIRNHILL,26810.0
CECIL,9310.0
CENTRAL SUBZONE,19600.0
CENTRAL WATER CATCHMENT,0.0
CHANGI AIRPORT,0.0
CHANGI BAY,0.0
CHANGI POINT,1990.0
CHANGI WEST,840.0
CHATSWORTH,39820.0
CHENG SAN,38280.0
CHIN BEE,0.0
CHINA SQUARE,2080.0
CHINATOWN,17840.0
CHOA CHU KANG CENTRAL,37980.0
CHOA CHU KANG NORTH,41700.0
CHONG BOON,34470.0
CITY HALL,2030.0
CITY TERMINALS,0.0
CLARKE QUAY,0.0
CLEANTECH,0.0
CLEMENTI CENTRAL,25830.0
CLEMENTI NORTH,41760.0
CLEMENTI WEST,31210.0
CLEMENTI WOODS,26640.0
CLIFFORD PIER,0.0
COMMONWEALTH,8030.0
COMPASSVALE,33750.0
CONEY ISLAND,0.0
CORONATION ROAD,17570.0
CRAWFORD,10620.0
DAIRY FARM,19350.0
DEFU INDUSTRIAL PARK,0.0
DEPOT ROAD,14150.0
DHOBY GHAUT,5390.0
DOVER,21390.0
DUNEARN,11290.0
EAST COAST,0.0
EVERTON PARK,19840.0
FABER,14830.0
FAJAR,34620.0
FARRER COURT,21770.0
FARRER PARK,6370.0
FERNVALE,98620.0
FLORA DRIVE,43940.0
FOREST HILL,0.0
FORT CANNING,1510.0
FRANKEL,101170.0
GALI BATU,0.0
GARDEN,0.0
GEYLANG BAHRU,13380.0
GEYLANG EAST,65780.0
GHIM MOH,16670.0
GOMBAK,18330.0
GOODWOOD PARK,6560.0
GREENWOOD PARK,0.0
GUILIN,25520.0
GUL BASIN,0.0
GUL CIRCLE,0.0
HENDERSON HILL,14240.0
HILLCREST,27680.0
HILLVIEW,56650.0
HOLLAND DRIVE,19150.0
HOLLAND ROAD,35680.0
HONG KAH,82220.0
HONG KAH NORTH,33710.0
HOUGANG CENTRAL,8810.0
HOUGANG EAST,36520.0
HOUGANG WEST,61890.0
INSTITUTION HILL,23120.0
INTERNATIONAL BUSINESS PARK,0.0
ISTANA NEGARA,0.0
JELEBU,51920.0
JOO KOON,0.0
JOO SENG,18830.0
JURONG GATEWAY,5450.0
JURONG ISLAND AND BUKOM,0.0
JURONG PORT,0.0
JURONG RIVER,0.0
JURONG WEST CENTRAL,91430.0
KAKI BUKIT,54030.0
KALLANG BAHRU,0.0
KALLANG WAY,0.0
KAMPONG BUGIS,4390.0
KAMPONG GLAM,0.0
KAMPONG JAVA,27020.0
KAMPONG TIONG BAHRU,10100.0
KAMPONG UBI,15040.0
KANGKAR,58270.0
KATONG,31360.0
KEAT HONG,53180.0
KEBUN BAHRU,32950.0
KEMBANGAN,65150.0
KENT RIDGE,0.0
KHATIB,13720.0
KIAN TECK,0.0
KIM KEAT,10030.0
KOVAN,60550.0
KRANJI,0.0
LAKESIDE (BUSINESS),0.0
LAKESIDE (LEISURE),2940.0
LAVENDER,29830.0
LEEDON PARK,25100.0
LEONIE HILL,27200.0
LIM CHU KANG,0.0
LITTLE INDIA,5220.0
LIU FANG,0.0
LORONG 8 TOA PAYOH,9690.0
LORONG AH SOO,61250.0
LORONG CHUAN,23080.0
LORONG HALUS,0.0
LORONG HALUS NORTH,0.0
LOWER SELETAR,29290.0
LOYANG EAST,5320.0
LOYANG WEST,0.0
MACKENZIE,1000.0
MACPHERSON,36940.0
MALCOLM,9070.0
MANDAI EAST,0.0
MANDAI ESTATE,5120.0
MANDAI WEST,0.0
MARGARET DRIVE,43970.0
MARINA CENTRE,0.0
MARINA EAST,0.0
MARINA EAST (MP),0.0
MARINA SOUTH,0.0
MARINE PARADE,58690.0
MARITIME SQUARE,21740.0
MARYMOUNT,47770.0
MATILDA,77250.0
MAXWELL,0.0
MEI CHIN,37510.0
MIDVIEW,40440.0
MONK'S HILL,5180.0
MOULMEIN,47140.0
MOUNT EMILY,17450.0
MOUNT PLEASANT,1920.0
MOUNTBATTEN,31120.0
MURAI,0.0
NASSIM,39470.0
NATIONAL UNIVERSITY OF S'PORE,0.0
